birdX,birdY,uppperPipeX,upperPipeY,lowerPipeX,lowerPipeY,action
57,238,484,-239,484,181,0
57,231,480,-239,480,181,0
57,225,476,-239,476,181,0
57,220,472,-239,472,181,0
57,216,468,-239,468,181,0
57,213,464,-239,464,181,0
57,211,460,-239,460,181,0
57,210,456,-239,456,181,0
57,210,452,-239,452,181,0
57,211,448,-239,448,181,0
57,213,444,-239,444,181,0
57,216,440,-239,440,181,0
57,220,436,-239,436,181,0
57,225,432,-239,432,181,0
57,231,428,-239,428,181,0
57,238,424,-239,424,181,0
57,246,420,-239,420,181,0
57,255,416,-239,416,181,0
57,265,412,-239,412,181,0
57,275,408,-239,408,181,0
57,285,404,-239,404,181,0
57,295,400,-239,400,181,0
57,286,396,-239,396,181,1
57,278,392,-239,392,181,0
57,271,388,-239,388,181,0
57,265,384,-239,384,181,0
57,260,380,-239,380,181,0
57,256,376,-239,376,181,0
57,253,372,-239,372,181,0
57,251,368,-239,368,181,0
57,250,364,-239,364,181,0
57,250,360,-239,360,181,0
57,251,356,-239,356,181,0
57,253,352,-239,352,181,0
57,256,348,-239,348,181,0
57,260,344,-239,344,181,0
57,265,340,-239,340,181,0
57,271,336,-239,336,181,0
57,278,332,-239,332,181,0
57,286,328,-239,328,181,0
57,295,324,-239,324,181,0
57,305,320,-239,320,181,0
57,315,316,-239,316,181,0
57,325,312,-239,312,181,0
57,335,308,-239,308,181,0
57,326,304,-239,304,181,1
57,318,300,-239,300,181,0
57,311,296,-239,296,181,0
57,305,292,-239,292,181,0
57,300,288,-239,288,181,0
57,291,284,-239,284,181,1
57,283,280,-239,280,181,0
57,276,276,-239,276,181,0
57,270,272,-239,272,181,0
57,265,268,-239,268,181,0
57,256,264,-239,264,181,1
57,248,260,-239,260,181,0
57,241,256,-239,256,181,0
57,235,252,-239,252,181,0
57,226,248,-239,248,181,1
57,218,244,-239,244,181,0
57,211,240,-239,240,181,0
57,205,236,-239,236,181,0
57,200,232,-239,232,181,0
57,196,228,-239,228,181,0
57,193,224,-239,224,181,0
57,191,220,-239,220,181,0
57,190,216,-239,216,181,0
57,190,212,-239,212,181,0
57,191,208,-239,208,181,0
57,193,204,-239,204,181,0
57,196,200,-239,200,181,0
57,200,196,-239,196,181,0
57,205,192,-239,192,181,0
57,211,188,-239,188,181,0
57,218,184,-239,184,181,0
57,226,180,-239,180,181,0
57,235,176,-239,176,181,0
57,245,172,-239,172,181,0
57,255,168,-239,168,181,0
57,265,164,-239,164,181,0
57,275,160,-239,160,181,0
57,285,156,-239,156,181,0
57,295,152,-239,152,181,0
57,305,148,-239,148,181,0
57,296,144,-239,144,181,1
57,288,140,-239,140,181,0
57,281,136,-239,136,181,0
57,275,132,-239,132,181,0
57,270,128,-239,128,181,0
57,266,124,-239,124,181,0
57,263,120,-239,120,181,0
57,261,116,-239,116,181,0
57,260,112,-239,112,181,0
57,251,108,-239,108,181,1
57,243,104,-239,104,181,0
57,236,100,-239,100,181,0
57,230,96,-239,96,181,0
57,221,92,-239,92,181,1
57,213,88,-239,88,181,0
57,213,88,-239,88,181,0
57,240,484,-180,484,240,0
57,233,480,-180,480,240,0
57,227,476,-180,476,240,0
57,222,472,-180,472,240,0
57,218,468,-180,468,240,0
57,215,464,-180,464,240,0
57,213,460,-180,460,240,0
57,212,456,-180,456,240,0
57,212,452,-180,452,240,0
57,213,448,-180,448,240,0
57,215,444,-180,444,240,0
57,218,440,-180,440,240,0
57,222,436,-180,436,240,0
57,227,432,-180,432,240,0
57,233,428,-180,428,240,0
57,240,424,-180,424,240,0
57,248,420,-180,420,240,0
57,257,416,-180,416,240,0
57,267,412,-180,412,240,0
57,277,408,-180,408,240,0
57,287,404,-180,404,240,0
57,297,400,-180,400,240,0
57,307,396,-180,396,240,0
57,317,392,-180,392,240,0
57,327,388,-180,388,240,0
57,337,384,-180,384,240,0
57,328,380,-180,380,240,1
57,320,376,-180,376,240,0
57,313,372,-180,372,240,0
57,307,368,-180,368,240,0
57,302,364,-180,364,240,0
57,298,360,-180,360,240,0
57,289,356,-180,356,240,1
57,281,352,-180,352,240,0
57,274,348,-180,348,240,0
57,268,344,-180,344,240,0
57,263,340,-180,340,240,0
57,259,336,-180,336,240,0
57,256,332,-180,332,240,0
57,254,328,-180,328,240,0
57,253,324,-180,324,240,0
57,253,320,-180,320,240,0
57,254,316,-180,316,240,0
57,256,312,-180,312,240,0
57,259,308,-180,308,240,0
57,263,304,-180,304,240,0
57,268,300,-180,300,240,0
57,274,296,-180,296,240,0
57,281,292,-180,292,240,0
57,289,288,-180,288,240,0
57,298,284,-180,284,240,0
57,289,280,-180,280,240,1
57,281,276,-180,276,240,0
57,274,272,-180,272,240,0
57,268,268,-180,268,240,0
57,263,264,-180,264,240,0
57,259,260,-180,260,240,0
